GENRE	TITLE	ARTIST	BPM	SN	SN	SH	SH	SA	SA	DN	DN	DH	DH	DA	DA	OLD
ASIAN MIXTURE	華蝶風雪	白虎	199	6	638	10	1064	11	1500	7	626	10	1041	12	1481	no
CONTEMPORARY	嘆きの樹	金獅子	160	8	902	11	1281	12	2000	7	875	11	1281	12	2000	no
LOVELY TRANS POP	虹色	DJ YOSHITAKA feat. G.S.C license	160	5	488	8	792	9	934	5	488	7	793	8	934	no
DRUM'N'ROCK	罠	good-cool	180	2	283	8	777	10	1231	4	374	7	730	-	-	no
HUMAN SEQUENCER	冥	Amuro vs Killer	66-200	5	555	10	1111	12	2000	5	555	11	1104	12	2000	yes
RENAISSANCE	AA	D.J.Amuro	154	5	642	10	1386	12	1834	5	659	9	997	12	1739	yes
SPEED RAVE	RED ZONE	Tatsh&NAOKI	165	5	567	9	975	11	1184	5	611	9	941	11	1232	yes
MEDIEVAL CHOIR	Sphere	Tatsh feat. K.Nayuki	160	5	541	9	996	10	1111	5	522	8	897	12	1139	yes
DRUM'N'BASS	Karma	TaQ	200	5	668	9	839	10	925	7	797	11	1085	12	1267	yes
TRANCE	quasar	OutPhase	155	6	591	9	901	11	1161	7	710	11	1056	12	1562	yes
GARAGE HOUSE	dual control	Mr.T	131-140	5	403	7	763	9	961	4	403	8	756	9	854	yes
HARDCORE BREAKBEATS	OUTER LIMITS	L.E.D.-G	171	5	457	8	870	-	-	7	672	10	986	-	-	yes	.
HARD CORE	OUTER LIMITS ALTERNATIVE	L.E.D.-G	175	-	-	-	-	10	1363	-	-	-	-	11	1431	no
SPIRITUAL	桜	Reven-G	13-320	7	541	10	819	12	1123	8	605	10	819	12	1047	yes
UK GARAGE/2-STEP	General Relativity	SYMPHONIC DEFOGGERS	142	3	416	5	527	7	606	6	598	7	767	7	940	yes
TECHNO	stoic	TaQ	155	8	874	10	1250	12	1302	7	874	10	1126	12	1497	yes
DRUM'N'BASS	era (nostalmix)	TaQ	90-180	5	437	8	555	9	786	5	437	11	952	11	1226	yes
DANCE POP	IS THIS LOVE?	Asuka M.	115	3	300	4	441	5	445	4	406	5	439	-	-	yes
PIANO AMBIENT	Presto	Osamu Kubota	136	3	273	8	498	8	508	3	274	8	508	-	-	yes
BIG BEAT	Schlagwerk	TaQ	125	4	414	6	663	8	848	4	412	11	1043	11	1090	yes
MINIMAL	Digital MinD (A/T Libra mix)	TaQ	155	3	374	5	542	6	573	4	374	8	597	-	-	yes
ITALO HOUSE	I Was The One	good-cool	125	2	272	3	326	3	348	1	205	2	270	-	-	yes
FUTURE JAZZ	RUGGED ASH	SYMPHONIC DEFOGGERS	168	2	185	3	201	9	556	3	186	4	201	9	624	yes
HARDCORE	eRAseRmOToRpHAntOM	L.E.D.-G VS GUHROOVY	135-270	7	787	10	1340	12	1686	7	788	10	1281	12	1798	yes
NU-FUSION	Smoke	Aya	160	4	383	7	713	10	879	5	521	7	713	10	929	yes
CYBORG TRANCE	The Hope of Tomorrow	Sota Fujimori	144	6	732	8	1012	10	1404	6	904	9	1332	11	1716	yes
2STEP POP TRANCE	Back Into The Light	Sota Fujimori	144	6	713	9	1075	10	1344	7	903	9	1323	10	1560	yes
HYPER J-POP ZERO	零 - ZERO -	ＴЁЯＲＡ	180	6	596	8	912	9	1162	6	601	8	909	10	1154	no
TECHNO POP	321 STARS	DJ SIMON	192	5	276	8	413	10	588	4	294	6	436	9	626	yes
HARD TECHNO	Attack the music	DJ FX	140	1	139	5	323	6	397	4	324	7	378	6	403	yes
HARDCORE	CALDERA	CALF	120-210	7	436	10	686	11	787	6	438	9	665	11	754	yes
MINIMAL	DRUNK MONKY	DJ ODDBALL	145	7	524	10	833	12	1177	6	593	9	862	11	1104	yes
RAVE	LIGHT MOTION	RAM	152	5	314	6	486	8	532	3	315	5	476	7	531	yes
DRUM'N BASS	super highway	nouvo nude	160	4	349	7	395	-	-	4	391	8	452	-	-	yes	.
DRUM'N BASS	super highway (SUPER SUBWAY MIX)	nouvo nude (another mixed by DOCTOR S)	160	-	-	-	-	8	483	-	-	-	-	8	483	yes
TRANCE	quell -the seventh slave-	dj TAKA Vs. DJ YOSHITAKA	140	5	490	9	926	12	1646	5	638	11	944	12	1752	no
TRANCE CORE	Go Beyond!!	Ryu☆ Vs. Sota	200	6	547	10	899	12	1166	7	528	10	822	12	1087	no
HARDSTYLE	SOLID STATE SQUAD	kors k Vs. L.E.D.	155	5	539	10	1188	12	1819	5	539	11	1188	12	1913	no
NU STYLE GABBA	VANISHING POINT	DJ CHUCKY	170	4	542	8	829	10	1261	4	668	8	900	10	1392	no
DIST.LOUNGE	breathless	Studio Bongo Mango feat. Tomoko Kataoka	175	4	437	7	763	9	1017	4	437	8	763	-	-	no
ETHNO POP	WaterCube Pf. (RX-Ver.S.P.L.)	高田雅史	150	3	295	7	700	10	1120	3	351	7	735	10	1143	no
DETROIT TECHNO	Shoot'Em All	Manabu Namiki	152	4	404	7	748	11	1264	4	318	7	855	11	1416	no
DRUM'N'BASS	Infinite cave	猫叉Master+	190	6	529	9	786	10	1044	7	724	10	1137	12	1525	no
TECHNO	QUANTUM TELEPORTATION	L.E.D.	152	6	729	10	1216	11	1490	6	729	10	1216	12	1999	no
PROVIDENCE R	Bleeding Luv ～Immorality act～	Xephia (Tatsh＋Yuta)	214	6	616	8	982	11	1412	6	616	9	1025	11	1297	no
HEC-DRUM'N'BASS	Hybrid Landscape	Sota Fujimori	170	4	369	8	686	9	858	4	369	8	686	-	-	no
